"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"classifier"
"OTU142"	NA	"Planctomycetota"	"Candidatus Brocadiia"	"Candidatus Brocadiales"	"Candidatus Brocadiaceae"	"Candidatus Kuenenia"	"Candidatus Kuenenia stuttgartiensis"	"NCBI"
"OTU143"	NA	"Bacillariophyta"	"Coscinodiscophyceae"	"Stephanodiscales"	"Stephanodiscaceae"	"Stephanodiscus"	"Stephanodiscus hantzschii"	"NCBI"
"OTU144"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Prochlorococcaceae"	"Cyanobium"	"Cyanobium sp. Cruz-8H5"	"NCBI"
"OTU145"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Nitrosomonadales"	"Methylophilaceae"	NA	"Methylophilaceae bacterium"	"NCBI"
"OTU146"	NA	"Streptophyta"	"Magnoliopsida"	"Poales"	"Juncaceae"	"Juncus"	"Juncus bufonius"	"NCBI"
"OTU147"	NA	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	"Anaeromyxobacter dehalogenans"	"NCBI"
"OTU148"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Rhodocyclales"	"Rhodocyclaceae"	"Aromatoleum"	"Aromatoleum evansii"	"NCBI"
"OTU149"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta hypogea"	"NCBI"
"OTU150"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Ralstonia"	"Ralstonia solanacearum"	"NCBI"
"OTU151"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	NA	"Rhizobacter"	"Rhizobacter sp. AJA081-3"	"NCBI"
"OTU152"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Lautropia"	"Lautropia mirabilis"	"NCBI"
"OTU153"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU154"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Mariniblastus"	"Mariniblastus sp."	"NCBI"
"OTU155"	NA	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"
"OTU156"	NA	"Ignavibacteriota"	"Ignavibacteria"	"Ignavibacteriales"	"Ignavibacteriaceae"	"Ignavibacterium"	"Ignavibacterium sp."	"NCBI"
"OTU157"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU158"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhodoferax"	"Rhodoferax sediminis"	"NCBI"
"OTU159"	NA	"Pseudomonadota"	"Gammaproteobacteria"	"Legionellales"	"Coxiellaceae"	"Coxiella"	"Coxiella burnetii"	"NCBI"
"OTU160"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Gimesia"	"Gimesia benthica"	"NCBI"
"OTU161"	NA	"Candidatus Gottesmanbacteria"	NA	NA	NA	NA	"Candidatus Gottesmanbacteria bacterium"	"NCBI"
"OTU162"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU163"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta hypogea"	"NCBI"
"OTU164"	NA	"Bacillota"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Salisediminibacterium"	"Salisediminibacterium beveridgei"	"NCBI"
"OTU165"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU166"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Rhodocyclales"	"Azonexaceae"	"Dechloromonas"	"Dechloromonas sp. ZY10"	"NCBI"
"OTU167"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	NA	"Anaerohalosphaeraceae bacterium"	"NCBI"
"OTU168"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU169"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"
