"GRE24SC-02DNA10-12"	"GRE24SC-02DNA12-14"	"GRE24SC-02DNA16-18"	"GRE24SC-02DNA18-20"	"GRE24SC-02DNA2-4"	"GRE24SC-02DNA20-22"	"GRE24SC-02DNA22-24"	"GRE24SC-02DNA28-30"	"GRE24SC-02DNA30-32"	"GRE24SC-02DNA34-36"	"GRE24SC-02DNA38-40"	"GRE24SC-02DNA4-6"	"GRE24SC-02DNA50-52"	"GRE24SC-02DNA6-8"	"GRE24SC-02DNA60-62"	"GRE24SC-02DNA8-10"	"MUR23DNAD1110-12"	"MUR23DNAD1113-15"	"MUR23DNAD1122-24"	"MUR23DNAD1128-30"	"MUR23DNAD1131-33"	"MUR23DNAD1134-36"	"MUR23DNAD1137-39"	"MUR23DNAD1143-45"	"MUR23DNAD1146-48"	"MUR23DNAD1152-54"	"MUR23DNAD1164-66"	"MUR23DNAD1170-72"	"MUR23DNAD1176-78"	"NEU24CDNA10-12"	"NEU24CDNA13-15"	"NEU24CDNA16-18"	"NEU24CDNA19-21"	"NEU24CDNA22-24"	"NEU24CDNA25-27"	"NEU24CDNA28-30"	"NEU24CDNA31-33"	"NEU24CDNA34-36"	"NEU24CDNA37-39"	"NEU24CDNA4-6"	"NEU24CDNA40-42"	"NEU24CDNA52-54"	"NEU24CDNA7-9"	"ZUG24N02DNA1-3"	"ZUG24N02DNA10-12"	"ZUG24N02DNA13-15"	"ZUG24N02DNA16-18"	"ZUG24N02DNA19-21"	"ZUG24N02DNA22-24"	"ZUG24N02DNA25-27"	"ZUG24N02DNA31-33"	"ZUG24N02DNA34-36"	"ZUG24N02DNA37-39"	"ZUG24N02DNA4-6"	"ZUG24N02DNA40-42"	"ZUG24N02DNA47-49"	"ZUG24N02DNA7-9"	"ZUG24S03DNA1-3"	"ZUG24S03DNA10-12"	"ZUG24S03DNA13-15"	"ZUG24S03DNA16-18"	"ZUG24S03DNA19-21"	"ZUG24S03DNA22-24"	"ZUG24S03DNA25-27"	"ZUG24S03DNA28-30"	"ZUG24S03DNA31-33"	"ZUG24S03DNA34-36"	"ZUG24S03DNA37-39"	"ZUG24S03DNA4-6"	"ZUG24S03DNA40-42"	"ZUG24S03DNA7-9"
"ASV132"	0.395447921305105	0.672133193939489	4.8934072564976	0.279814449523436	0.166827143394109	0	0	0	0	0	0	0.120714010530371	0	0	0	0	0	0	0	1.12722676153616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0655274419758546	0	0	0	0.0582953904482785	0.0925067737685591	0	0	0	0	0	0	0	0	0	0	0	0.19455842351035
"ASV133"	10.0923976844918	0.296862078112566	0.682004937331518	5.28805324256563	0	0	0	0	0	0	0	0.126084266317989	0	0.0370419011250636	0	0	0.141561648501362	0	0	0	0.792952432968211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126809679805558	0	0	0	0	0	0	0	0	0	0	0.0189964449510163	0	0	0.0413564929693962	0	0	0	0	0	0	0	0	0	0	0
"ASV134"	0	0	0	0	0	0	0	2.0831031053155	2.22822417285618	0.526682673689102	1.58073014678209	0	1.87726534183227	0	0	0	0	0	0	0	0	0	0	0	0	0	0.461193833179602	1.04827523478182	0	1.66186196371036	0.713176105069905	4.89193736249515	7.18697361033127	4.47812607647261	0	15.2542372881356	0	0	0	2.98200514138817	0	0	3.78879484079	0	0.0645723443650905	0.0913331622409082	0.9893402076221	3.04687119749501	8.17597428686219	40.1474085659803	11.9996456548425	17.3230761366831	0	0	4.97977428471158	0	0	0	0.0259232033977152	0.0763176519744528	0	0.29133526818353	0.533169887852104	0.838756000888663	0.87927174072924	1.96717777358592	0.55521759701824	9.6645265529997	0	3.86187764637173	0
"ASV136"	0.00455410274055783	0	0	0.151918606815021	0.22552558273648	0.168224013213232	0.00918681641734204	0.292850038678307	1.61771325680846	1.23925334985671	1.0757746832267	0.310540878153566	0	0.271416111880011	0	0.115744846915245	1.88287636239782	4.13582092176757	1.43290470253271	1.73710204985861	1.58287060917762	0.085484545996919	0.179039846775201	7.22761147424955	1.02725629507669	6.68022898235322	15.4258356393025	13.0522773267845	13.5841325455031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.574149278812491	0.163795836415513	1.20009754058385	2.24215974171358	0.185817597428686	0.447796370492576	1.40472544577886	6.0393078948041	0	0.28934545366293	4.03960176582501	0	0.1721741280481	0.104960777814606	0.305929311330571	0.271162160088	0.0138198429912282	0.164388417484547	0.208014350387039	0.153262132983879	0	0	1.33928140359009	0	0.250464929791336	0	0.159651191126977
"ASV139"	0.434410800307655	0.594114250940128	0.00349298303370816	2.44693845097157	0	0	0	0	0	0	0	0	0	0.0165004832284374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.438098205431202	0.497129253605938	3.53783910267055	0.0330941266634153	0	0	0	0	0	0	0.535410436391191	0	0	0.448376407018433	1.32901860218993	0.636361376557612	0.0191860018930189	0.0119004203535577	2.41487028380265	1.74741520279624	0.99974563637593	0	0	0	0	0.503659722577673	0	0.318512029822632
"ASV148"	0.497662227259847	0.150966654703762	0.360650498230367	0.305867306371446	0.653406311626925	0.0535258223860282	0.669802433337119	0	0	0	0	0.39342960878854	0	0.690999828260277	0	1.86256075495796	0.555070674386921	5.40540540540541	5.60879840705659	5.57227934373249	11.3552002103751	0.465712682879048	0	1.70281860194013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.594263307280485	0.217056434673015	0.0535921861083015	0	0	0	0	0	0	0	0.0161796153026802	0	0	0.0180918523343012	0.408939983369096	0.419387715242488	0.297169851542981	0.238008407071153	0.272503710924519	0.487733306197597	0	0	0	0	0	0	0	0.10445824633968
"ASV149"	0	0.0932326368842355	0.201719770196646	2.34678720906233	0	0.0188614802693623	0	0	0	0	0	0	0	0	0	0	0	0	0.117237657479949	0.366185803458566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.23980457141079	3.2736522697423	0	0	0	0	0	0	0	0.0849429803390708	0	0	0	0.0497182631753397	0	0.697091402113018	0.63302558590376	0.915878325985334	4.633111435583	3.74429694216286	0	0	0	0	0.470218900888912	0	0.127115016037568
"ASV159"	0.182417115330122	1.56662037542715	0.138147478983158	0.683802905062713	0.568448044157703	0.742224737086258	0.650760668399356	0.547021770361366	0.112536574386676	0	0	1.3182810511692	0	0.98800852637215	0	1.9472629226239	0.0143690395095368	0.196943853417503	0	0.363579498807616	0	0.292962662843608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0258375350991515	0.697848107174532	0.389486873688501	0.482477530829792	0	0	0	0	0	0	0.253210979486944	0	0	0.252079809191264	0.0428856363646936	0.690160901417254	0.147519036777434	0.439547784026565	0.622770675942132	0.823538042487937	1.34072168433796	0.964257113439129	0	2.25949422090901	0	0.171981368685059	0	0.210892373757665
"ASV166"	12.0296623891835	0.0932326368842355	0	0	0	0	0	0	0	0	0	0.727552914531212	0	0.323948262566465	0	0.812431262638805	0	0.31651690727813	0	0	0.247797635302566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV170"	0	0	0	0	0.268262165766452	0	0	0	0.889038937654738	0	0	0.112074903393768	0	0	0	0.113084045836733	3.05954104223433	2.40025321352582	0.0158177791838026	0	0.0434910135428993	0	0.129075238372819	5.81622881885174	3.72246183581796	1.65822964469887	9.75754381341415	10.1712258680674	23.462691885151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113229197934517	0.245063716566307	0.0150963904530427	0	1.87874166490906	2.66924467657694	0	0	3.84389296393795	0	0.0945159193931566	1.82493211917472	0	0.104329681794471	0.0439032616343643	0.0569955362374423	0.0746122295839622	0	0	0.457442251761259	0	0.272933793125991	0	0.595772621496094	0	0.319735203289485	1.96865722489901	0.0978061133760563
