"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"NA"	"ASV_ID"
"ASV690"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Nostocales"	"Calotrichaceae"	"Calothrix"	"Calothrix sp. NIES-3974"	"NCBI"	"ASV690"
"ASV700"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"	"ASV700"
"ASV701"	"unassigned"	"unassigned"	"Cryptophyceae"	"Cryptomonadales"	"Cryptomonadaceae"	"Cryptomonas"	"Cryptomonas curvata"	"NCBI"	"ASV701"
"ASV730"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"	"ASV730"
"ASV753"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV753"
"ASV756"	"unassigned"	"Chlorophyta"	"Chlorophyceae"	"Sphaeropleales"	"Selenastraceae"	"Monoraphidium"	"Monoraphidium sp. GA1"	"NCBI"	"ASV756"
"ASV782"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Chroococcales"	"Aphanothecaceae"	"Crocosphaera"	"Crocosphaera subtropica"	"NCBI"	"ASV782"
"ASV783"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus rubescens"	"NCBI"	"ASV783"
"ASV784"	"unassigned"	"Chlorophyta"	"Chlorophyceae"	"Chlamydomonadales"	"Chlamydomonadaceae"	"Carteria"	"Carteria radiosa"	"NCBI"	"ASV784"
"ASV785"	"unassigned"	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Codiaceae"	"Codium"	"Codium fragile"	"NCBI"	"ASV785"
"ASV793"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Nostocales"	"Aphanizomenonaceae"	"Dolichospermum"	"Dolichospermum planctonicum"	"NCBI"	"ASV793"
"ASV816"	"unassigned"	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Codiaceae"	"Codium"	"Codium fragile"	"NCBI"	"ASV816"
"ASV817"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"	"ASV817"
"ASV828"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Coelosphaeriaceae"	"Woronichinia"	"Woronichinia naegeliana"	"NCBI"	"ASV828"
"ASV833"	"unassigned"	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Codiaceae"	"Codium"	"Codium fragile"	"NCBI"	"ASV833"
"ASV834"	"unassigned"	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Codiaceae"	"Codium"	"Codium fragile"	"NCBI"	"ASV834"
"ASV849"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"	"ASV849"
"ASV862"	"unassigned"	"unassigned"	"Eustigmatophyceae"	"Eustigmatales"	"Monodopsidaceae"	"Monodopsis"	"Monodopsis sp. MarTras21"	"NCBI"	"ASV862"
"ASV896"	"unassigned"	"Bacillariophyta"	"Bacillariophyceae"	"Naviculales"	"unassigned"	"unassigned"	"Naviculales sp."	"NCBI"	"ASV896"
"ASV906"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. CBW1108"	"NCBI"	"ASV906"
"ASV913"	"unassigned"	"Bacillariophyta"	"Fragilariophyceae"	"Fragilariales"	"Staurosiraceae"	"Nanofrustulum"	"Nanofrustulum shiloi"	"NCBI"	"ASV913"
"ASV923"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Nostocales"	"Calotrichaceae"	"Calothrix"	"Calothrix sp. NIES-3974"	"NCBI"	"ASV923"
"ASV929"	"unassigned"	"Euglenozoa"	"Euglenida"	"Euglenales"	"Euglenaceae"	"Trachelomonas"	"Trachelomonas sydneyensis"	"NCBI"	"ASV929"
"ASV968"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Gloeomargaritales"	"unassigned"	"unassigned"	"Gloeomargaritales cyanobacterium VI4D9"	"NCBI"	"ASV968"
"ASV977"	"unassigned"	"Rhodophyta"	"Compsopogonophyceae"	"Erythropeltidales"	"Erythrotrichiaceae"	"Erythrotrichia"	"Erythrotrichia longistipitata"	"NCBI"	"ASV977"
"ASV987"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Prochlorococcaceae"	"Cyanobium"	"Cyanobium sp. Tous-M-B4"	"NCBI"	"ASV987"
"ASV989"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV989"
"ASV992"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Chroococcales"	"Aphanothecaceae"	"Crocosphaera"	"Crocosphaera subtropica"	"NCBI"	"ASV992"
"ASV1002"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus rubescens"	"NCBI"	"ASV1002"
"ASV1015"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Anathece"	"Anathece clathrata"	"NCBI"	"ASV1015"
"ASV1033"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"	"ASV1033"
"ASV1035"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV1035"
"ASV1042"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus rubescens"	"NCBI"	"ASV1042"
"ASV1043"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV1043"
"ASV1051"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Pseudanabaenales"	"Leptolyngbyaceae"	"Leptolyngbya"	"Leptolyngbya sp. 7M"	"NCBI"	"ASV1051"
"ASV1071"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV1071"
"ASV1082"	"unassigned"	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Codiaceae"	"Codium"	"Codium arabicum"	"NCBI"	"ASV1082"
"ASV1091"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV1091"
